SEASON,EPISODE,SPEAKER,TEXT
9,4,SWEET DEE,"So sign up for the Invigaron system today, and take the first steps toward obtaining financial freedom. Invigaron-- a business opportunity as rare as the albani berries themselves."
9,4,CHARLIE,"- What's happening? You're, like, a berry salesman now or...?"
9,4,CHARLIE,
9,4,SWEET DEE,"No, I'm a distributor, Charlie, for a revolutionary new product that changes lives."
9,4,DENNIS,- Right. Now explain these to me.
9,4,SWEET DEE,"Oh, those are my new wrenches. I got those free for sitting through a 20-minute presentation."
9,4,MAC,"Oh, I get it now. It's a scam."
9,4,SWEET DEE,"No, no, no, no, no, it's not a scam at all. I also had reservations in the beginning, but these super berries grow in the Andes mountains, okay? Alpacas can survive entire winters on this shit."
9,4,SWEET DEE,
9,4,CHARLIE,"Oh, shit! So it's like a super berry, huh?"
9,4,SWEET DEE,Mm-hmm.
9,4,CHARLIE,"Now what kind of superpowers are you talking about? Like, do you survive the winter?"
9,4,SWEET DEE,Great question.
9,4,DENNIS,"So is that the only super power you get, surviving winters? Because I've survived many winters without these berries."
9,4,SWEET DEE,"No, I think I have an answer for all of this stuff, okay? Okay. Charlie, allow me to demonstrate."
9,4,CHARLIE,"Oh, you got a thing here."
9,4,SWEET DEE,"Come over here and hold on to these. Now, this machine is gonna measure the level of toxins in your body caused by stress."
9,4,CHARLIE,All right. Where do I put my feet?
9,4,SWEET DEE,Wherever you want.
9,4,CHARLIE,I'm gonna put them on the stool.
9,4,SWEET DEE,"Great. It doesn't matter. Okay, here we go. 120, 140, 157. Oh, shit, Charlie. 157?"
9,4,SWEET DEE,
9,4,CHARLIE,Is that bad?
9,4,SWEET DEE,"Yeah, it's not good."
9,4,CHARLIE,"Guys, I got 157."
9,4,DENNIS,"Wait, wait, wait, wait, wait. 157 what?"
9,4,SWEET DEE,Units.
9,4,CHARLIE,"Units, dude."
9,4,DENNIS,Units of what?
9,4,SWEET DEE,Units of stress!
9,4,CHARLIE,Ah!
9,4,SWEET DEE,"You're very, very high in your..."
9,4,CHARLIE,That's a lot of units!
9,4,SWEET DEE,"...in your stress unit. But don't even worry, because Invigaron can help you. These berries are chock-full of antioxidants and phytonutrients."
9,4,SWEET DEE,
9,4,SWEET DEE,
9,4,CHARLIE,"Oh, thank God. All right, I'm sold. I'm in."
9,4,CHARLIE,
9,4,MAC,"Of course you're buying it, because you're as big of an idiot as she is."
9,4,MAC,"You're getting scammed, Dee!"
9,4,SWEET DEE,It's not a scam!
9,4,DENNIS,You walked into a room that you could have walked out of with a free set of golf club but instead you got got.
9,4,MAC,"Hey, I say we get ourselves a new pair of golf clubs, huh?"
9,4,DENNIS,"Yeah, well, we won't get got though."
9,4,DENNIS,"We gonna get. See, Dee, people like us, we don't get got. We go get."
9,4,MAC,That's right. You won't see us getting scammed.
9,4,DENNIS,No way.
9,4,,---
9,4,SWEET DEE,"Hey-oh! All right, Charlie, I signed you up for the gold member starter kit, okay?"
9,4,CHARLIE,Good. Yeah.
9,4,SWEET DEE,Yeah. You know what's in here?
9,4,SWEET DEE,"Two cases of the juice, four packs of the energy gel."
9,4,CHARLIE,Nice.
9,4,SWEET DEE,"There's a box of shake mix, and I think they threw in a bunch of protein..."
9,4,SWEET DEE,Whoa-whoa-whoa-whoa!
9,4,SWEET DEE,"What are you doing, Charlie?!"
9,4,CHARLIE,What?
9,4,SWEET DEE,What are you doing?!
9,4,CHARLIE,I'm drinking the berry juice to save my life.
